NM_PARTIDO,SUM de VR_PAGAMENTO
AVANTE,140491
DEMOCRATAS,4422726
MOVIMENTO DEMOCRÁTICO BRASILEIRO,17.2
PARTIDO COMUNISTA DO BRASIL,-47709
PARTIDO DA MOBILIZAÇÃO NACIONAL,130984
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24156419
PARTIDO DEMOCRÁTICO TRABALHISTA,1794730
PARTIDO DOS TRABALHADORES,9708457
PARTIDO HUMANISTA DA SOLIDARIEDADE,16.4
PARTIDO LIBERAL,18.10
PARTIDO NOVO,632545
PARTIDO POPULAR SOCIALISTA,358548
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,656293
PARTIDO REPUBLICANO DA ORDEM SOCIAL,07.10
PARTIDO REPUBLICANO PROGRESSISTA,166860
PARTIDO SOCIAL CRISTÃO,4009192
PARTIDO SOCIAL DEMOCRÁTICO,21488917
PARTIDO SOCIAL LIBERAL,3.4
PARTIDO SOCIALISMO E LIBERDADE,28.12
PARTIDO SOCIALISTA BRASILEIRO,4315782
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,587422
PARTIDO TRABALHISTA BRASILEIRO,2873577
PARTIDO VERDE,651231
PATRIOTA,5.10
REDE SUSTENTABILIDADE,307243
REPUBLICANOS,1171771
SOLIDARIEDADE,419877